frame,leader_x,leader_y,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,f4_x,f4_y
76,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
77,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
78,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
79,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
80,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
81,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
82,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
83,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
84,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
85,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
86,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
87,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
88,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
89,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
90,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
91,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
92,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
93,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
94,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
95,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
96,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
97,0.0,0.0,0.0,-1.5,0.0,1.5,0.0,-3.0,0.0,3.0
98,3.3527613e-08,-1.7334241e-07,-4.284084e-08,-1.5000001,3.1664968e-08,1.4999998,-5.401671e-08,-3.0000002,-3.9115548e-08,3.0
99,0.0035299528,-3.2257958e-07,0.0035286853,-1.5000002,0.0035310844,1.4999999,0.003531525,-2.9999993,0.003529055,3.0
100,0.00705716,-1.5959304e-06,0.0070557166,-1.5000002,0.007054434,1.4999983,0.0070553143,-3.0000002,0.007057216,3.0
101,0.010604896,-1.3177996e-06,0.010604788,-1.5000015,0.010604513,1.4999986,0.010605043,-3.0000012,0.010606816,3.0000005
102,0.014133127,-1.1058e-06,0.014134219,-1.4999996,0.014132334,1.4999977,0.014133621,-3.0000012,0.014135409,3.0000014
103,0.017677587,-1.7634302e-06,0.017657781,-1.5000006,0.01766317,1.5000018,0.017635658,-2.9999983,0.017642122,3.0000024
104,0.021190925,-3.3433462e-06,0.021177145,-1.5000018,0.021185514,1.5000001,0.021162998,-2.9999986,0.02116396,2.999999
105,0.024735402,-2.1035012e-06,0.02473151,-1.4999993,0.024720693,1.5000006,0.024690019,-2.9999993,0.024700783,3.0000045
106,0.028309923,-2.2133463e-07,0.028263528,-1.4999987,0.028261896,1.5000015,0.028240891,-2.9999986,0.028221168,3.0000067
107,0.03184197,-6.191112e-08,0.03178966,-1.4999977,0.031799436,1.500003,0.031772226,-3.0000005,0.03176776,3.0000074
108,0.035371087,-1.1992015e-06,0.035337083,-1.4999963,0.035340354,1.5000001,0.03532609,-2.9999995,0.035344362,3.0000072
109,0.03891226,-1.6991471e-06,0.03887663,-1.4999954,0.03886038,1.4999955,0.03884907,-2.9999993,0.03888691,3.0000079
110,0.042459253,-3.032983e-07,0.042419128,-1.4999931,0.042405307,1.4999956,0.04237989,-2.9999988,0.042406686,3.0000062
111,0.04600049,-1.3568715e-06,0.04594055,-1.4999934,0.045996368,1.4999969,0.04592564,-2.9999976,0.045951672,3.000007
112,0.04952413,-4.1249295e-06,0.049486328,-1.4999925,0.049531937,1.4999946,0.0494551,-2.999997,0.049532223,3.0000086
113,0.053045575,-7.613933e-06,0.053022627,-1.499993,0.05302219,1.4999912,0.053001054,-2.9999957,0.053061396,3.0000072
114,0.056595966,-5.3783297e-06,0.0565672,-1.4999906,0.056565218,1.4999927,0.056521073,-2.9999967,0.056577433,3.0000083
115,0.060125962,-4.329435e-06,0.060063466,-1.4999889,0.060119882,1.4999899,0.06006574,-2.999995,0.06012169,3.0000093
116,0.06364513,-7.678769e-06,0.06360389,-1.4999878,0.06366066,1.4999931,0.063657686,-2.999994,0.06367935,3.0000076
117,0.067189544,-8.397437e-06,0.06717988,-1.4999864,0.06717727,1.4999919,0.06719823,-2.999995,0.06721596,3.0000103
118,0.07076847,-8.029281e-06,0.070717074,-1.4999856,0.07071551,1.4999945,0.07071963,-2.9999971,0.070739105,3.0000103
119,0.07431111,-6.828035e-06,0.07424064,-1.4999863,0.07429389,1.4999934,0.07426731,-2.9999952,0.07428416,3.0000124
120,0.077829786,-7.682938e-06,0.07778641,-1.4999875,0.07783544,1.4999949,0.0778504,-2.9999952,0.0778398,3.0000126
121,0.08137501,-7.4490454e-06,0.08135056,-1.4999852,0.08135497,1.499992,0.081392124,-2.999994,0.081383705,3.000014
122,0.08495949,-6.7549117e-06,0.0848931,-1.4999851,0.08490249,1.4999926,0.08491359,-2.9999948,0.0849037,3.0000122
123,0.088499814,-5.4078337e-06,0.08841514,-1.4999868,0.08848834,1.4999948,0.08845775,-2.999994,0.08844753,3.0000117
124,0.09202113,-7.392846e-06,0.091958836,-1.4999901,0.092032455,1.499992,0.09204644,-2.9999917,0.09202703,3.0000114
125,0.09556247,-6.5483327e-06,0.09553251,-1.4999896,0.09555362,1.4999888,0.095587686,-2.9999933,0.09556854,3.0000129
126,0.09914935,-5.8446094e-06,0.09907435,-1.4999906,0.099098496,1.4999866,0.09910864,-2.9999974,0.09908709,3.0000112
127,0.10269031,-3.8821454e-06,0.1025954,-1.4999933,0.102667294,1.4999857,0.10265583,-3.000003,0.10263306,3.0000117
128,0.10620847,-4.7756475e-06,0.1061401,-1.4999932,0.10620704,1.4999878,0.106212944,-3.0000021,0.1062128,3.0000138
129,0.10975355,-4.871021e-06,0.109716594,-1.4999931,0.109726146,1.4999857,0.109756835,-3.0000012,0.10975876,3.0000114
130,0.113326676,-4.315516e-06,0.11326047,-1.4999919,0.11327514,1.4999864,0.11327734,-3.0000002,0.113278344,3.0000079
131,0.1168665,-3.4718832e-06,0.11678086,-1.4999921,0.11685591,1.4999883,0.11682303,-3.0000005,0.11682367,3.000007
132,0.12038805,-5.234855e-06,0.12032374,-1.4999909,0.12040002,1.4999856,0.12039309,-3.0000007,0.12039952,3.0000088
133,0.12393037,-4.885631e-06,0.12391218,-1.49999,0.12392086,1.4999831,0.12393689,-3.0000002,0.12394157,3.0000057
134,0.12751713,-4.830239e-06,0.12745377,-1.4999907,0.12746575,1.499982,0.12745605,-3.0000029,0.12746656,3.0000012
135,0.13104157,-1.9147374e-06,0.13096926,-1.4999919,0.13102761,1.4999827,0.13100408,-3.0000024,0.13099511,2.9999971
136,0.13456619,1.4371108e-06,0.1345157,-1.4999906,0.1345616,1.4999837,0.13459355,-3.0000021,0.1345684,2.9999998
137,0.13809325,5.094931e-06,0.13809827,-1.499991,0.13808654,1.4999818,0.1381323,-3.000002,0.13810901,2.9999974
138,0.14166172,3.6382553e-06,0.1416414,-1.4999886,0.14163329,1.4999776,0.14165558,-3.000005,0.1416302,2.9999933
139,0.14520311,3.9179868e-06,0.1451593,-1.4999901,0.14517723,1.4999728,0.14520091,-3.0000055,0.14517102,2.9999874
140,0.1487279,5.94584e-07,0.14870591,-1.4999894,0.14871897,1.4999782,0.14878426,-3.000005,0.14873913,2.9999883
141,0.15228002,-1.4166799e-06,0.15227869,-1.4999883,0.15223688,1.4999825,0.1523258,-3.0000043,0.15228108,2.9999876
142,0.15581666,-1.7693019e-06,0.15582232,-1.4999872,0.15578395,1.4999831,0.15584649,-3.0000055,0.15579993,2.9999843
143,0.15939656,1.1219308e-06,0.1593428,-1.4999887,0.1593385,1.4999832,0.15939353,-3.0000043,0.15934934,2.9999852
144,0.16292964,5.1382085e-07,0.16288875,-1.4999874,0.16288225,1.4999851,0.16297825,-3.0000036,0.1629227,2.9999845
145,0.16644973,6.698465e-07,0.16646978,-1.4999876,0.1663992,1.4999827,0.16651815,-3.0000029,0.16646694,2.9999866
146,0.16999723,2.4590627e-06,0.17000924,-1.4999869,0.16995001,1.499983,0.17003903,-3.0000048,0.16998191,2.999985
147,0.17355904,2.2787717e-06,0.17352785,-1.4999881,0.17353448,1.4999847,0.1735827,-3.0000043,0.17352879,2.9999838
148,0.17710315,3.0158844e-06,0.17707682,-1.499988,0.17707421,1.499983,0.17717081,-3.000004,0.1771225,2.9999838
