frame,leader_x,leader_y,f1_x,f1_y
161,0.56114525,-4.354879e-06,0.5611907,-1.5000415
162,0.5645343,-4.183181e-06,0.56458807,-1.5000429
163,0.5680468,-2.1450542e-06,0.56808794,-1.5000416
164,0.5716298,-3.0078227e-06,0.57167053,-1.5000439
165,0.5750956,-3.1246454e-06,0.57513285,-1.5000439
166,0.57847893,-3.1560994e-06,0.57851875,-1.5000446
167,0.58199847,-5.852926e-07,0.58203363,-1.5000424
168,0.5855791,-2.075074e-06,0.585614,-1.5000436
169,0.58904344,-1.3486933e-06,0.5890798,-1.5000441
170,0.5924451,-2.0279113e-06,0.59245145,-1.5000463
171,0.59594893,-9.087744e-07,0.5959791,-1.5000424
172,0.5995359,-9.643118e-07,0.59955543,-1.5000443
173,0.60300094,-9.120704e-07,0.6030191,-1.5000439
174,0.60638595,-1.1252414e-06,0.6064073,-1.500044
175,0.6099003,1.2095988e-06,0.6099223,-1.5000417
176,0.6134808,-5.966285e-07,0.6135035,-1.5000437
177,0.6169339,3.1429227e-07,0.6169612,-1.5000435
178,0.62033707,-4.1548628e-07,0.620356,-1.5000447
179,0.6238407,2.2873937e-06,0.623863,-1.5000429
180,0.6274249,1.4996112e-06,0.6274456,-1.5000443
181,0.630889,1.9182407e-06,0.6309067,-1.5000441
182,0.63427085,1.9084473e-06,0.634292,-1.5000447
183,0.6377954,5.1054085e-06,0.63780665,-1.5000429
184,0.64137256,2.316614e-06,0.64138985,-1.5000443
185,0.6448351,2.894114e-06,0.6448548,-1.5000445
186,0.64820945,1.2700402e-06,0.6482388,-1.5000451
187,0.65173733,5.553571e-06,0.65175706,-1.5000428
188,0.6553122,4.2058673e-06,0.65534043,-1.5000443
189,0.6587754,4.9493683e-06,0.6588042,-1.5000445
190,0.6621492,3.518253e-06,0.66218925,-1.500045
191,0.6656775,8.045055e-06,0.66570294,-1.5000432
192,0.6692514,6.424001e-06,0.6692863,-1.5000448
193,0.67271256,7.0989554e-06,0.6727462,-1.5000448
194,0.676102,7.34668e-06,0.67614514,-1.5000457
195,0.6796144,9.501215e-06,0.67964315,-1.5000442
196,0.6831974,7.774499e-06,0.68322927,-1.500046
197,0.68665767,8.507566e-06,0.6866907,-1.500046
198,0.690057,7.917624e-06,0.690091,-1.5000479
199,0.69355553,9.9716635e-06,0.6935921,-1.5000467
200,0.6971408,9.637166e-06,0.6971768,-1.5000473
201,0.7006021,1.0189135e-05,0.7006416,-1.5000477
202,0.70399714,1.02792255e-05,0.7040214,-1.5000479
203,0.707501,1.2611556e-05,0.707541,-1.5000452
204,0.7110837,1.2103905e-05,0.71111894,-1.5000473
205,0.71454793,1.2837088e-05,0.7145782,-1.5000473
206,0.7179341,1.262148e-05,0.717976,-1.5000488
207,0.7214498,1.5532816e-05,0.72147715,-1.5000478
208,0.7250316,1.3987163e-05,0.72506315,-1.500049
209,0.72849107,1.4752157e-05,0.72852695,-1.5000495
210,0.7318912,1.4168756e-05,0.7319139,-1.5000494
211,0.73539186,1.5997553e-05,0.7354297,-1.5000474
212,0.73897785,1.5849248e-05,0.7390125,-1.500049
213,0.74243975,1.6566351e-05,0.74247473,-1.500049
214,0.7458399,1.5791993e-05,0.7458685,-1.5000497
215,0.7493367,1.7871324e-05,0.7493733,-1.5000479
216,0.75292146,1.7322222e-05,0.752957,-1.5000489
217,0.7563846,1.8206985e-05,0.7564241,-1.5000488
218,0.7597846,1.738326e-05,0.7597998,-1.5000509
219,0.76328456,1.911776e-05,0.7633266,-1.5000466
220,0.7668691,1.918985e-05,0.76690114,-1.5000472
